"interval_start_utc","interval_end_utc","load"
2024-04-30 02:55:00,2024-04-30 03:00:00,19502
2024-04-30 03:00:00,2024-04-30 03:05:00,19504
2024-04-30 03:05:00,2024-04-30 03:10:00,19497
2024-04-30 03:10:00,2024-04-30 03:15:00,19492
2024-04-30 03:15:00,2024-04-30 03:20:00,19466
2024-04-30 03:20:00,2024-04-30 03:25:00,19427
2024-04-30 03:25:00,2024-04-30 03:30:00,19432
2024-04-30 03:30:00,2024-04-30 03:35:00,19417
2024-04-30 03:35:00,2024-04-30 03:40:00,19430
2024-04-30 03:40:00,2024-04-30 03:45:00,19380
2024-04-30 03:45:00,2024-04-30 03:50:00,19382
2024-04-30 03:50:00,2024-04-30 03:55:00,19375
2024-04-30 03:55:00,2024-04-30 04:00:00,19381
2024-04-30 04:00:00,2024-04-30 04:05:00,19366
2024-04-30 04:05:00,2024-04-30 04:10:00,19459
2024-04-30 04:10:00,2024-04-30 04:15:00,19590
2024-04-30 04:15:00,2024-04-30 04:20:00,19698
2024-04-30 04:20:00,2024-04-30 04:25:00,19737
2024-04-30 04:25:00,2024-04-30 04:30:00,19760
2024-04-30 04:30:00,2024-04-30 04:35:00,19812
2024-04-30 04:35:00,2024-04-30 04:40:00,19901
2024-04-30 04:40:00,2024-04-30 04:45:00,19943
2024-04-30 04:45:00,2024-04-30 04:50:00,20004
2024-04-30 04:50:00,2024-04-30 04:55:00,20060
2024-04-30 04:55:00,2024-04-30 05:00:00,20166
2024-04-30 05:00:00,2024-04-30 05:05:00,20239
2024-04-30 05:05:00,2024-04-30 05:10:00,20420
2024-04-30 05:10:00,2024-04-30 05:15:00,20658
2024-04-30 05:15:00,2024-04-30 05:20:00,20744
2024-04-30 05:20:00,2024-04-30 05:25:00,20858
2024-04-30 05:25:00,2024-04-30 05:30:00,20923
2024-04-30 05:30:00,2024-04-30 05:35:00,21032
2024-04-30 05:35:00,2024-04-30 05:40:00,21142
2024-04-30 05:40:00,2024-04-30 05:45:00,21280
2024-04-30 05:45:00,2024-04-30 05:50:00,21334
2024-04-30 05:50:00,2024-04-30 05:55:00,21472
2024-04-30 05:55:00,2024-04-30 06:00:00,21525
2024-04-30 06:00:00,2024-04-30 06:05:00,21570
2024-04-30 06:05:00,2024-04-30 06:10:00,21851
2024-04-30 06:10:00,2024-04-30 06:15:00,22129
2024-04-30 06:15:00,2024-04-30 06:20:00,22220
2024-04-30 06:20:00,2024-04-30 06:25:00,22280
2024-04-30 06:25:00,2024-04-30 06:30:00,22311
2024-04-30 06:30:00,2024-04-30 06:35:00,22414
2024-04-30 06:35:00,2024-04-30 06:40:00,22525
2024-04-30 06:40:00,2024-04-30 06:45:00,22659
2024-04-30 06:45:00,2024-04-30 06:50:00,22677
2024-04-30 06:50:00,2024-04-30 06:55:00,22710
2024-04-30 06:55:00,2024-04-30 07:00:00,22787
2024-04-30 07:00:00,2024-04-30 07:05:00,22778
2024-04-30 07:05:00,2024-04-30 07:10:00,22925
